"Key","Description",Typical Value
"""webrtc_in_passthrough""","Enable/Disable WebRTC input passthrough mode",FALSE
"""webrtc_sender_quality""","webrtc input quality","""pass_through"""
"""enable_rtsp_server_sei_metadata""",Enable SEI support for rtsp server,TRUE
"""enable_proxy_server_sei_metadata""",Enable SEI support for proxy server,TRUE
"""gpu_indices""",GPU indices,[]
"""webrtc_out_enable_insert_sps_pps""",webRTC Out Enable / Disable SPS PPS insertion,TRUE
"""webrtc_out_set_iframe_interval""",webRTC Out set I-Frame Interval,30
"""webrtc_out_set_idr_interval""",webRTC Out set IDR Interval,256
"""webrtc_out_min_drc_interval""",webRTC Out minimum interval between DRC requests,5
"""webrtc_out_encode_fallback_option""","WebRTC output encoder fallback option (software/hardware)","""software"""
"""webrtc_out_default_resolution""","Default resolution for WebRTC output","""1920x1080"""
"""webrtc_out_enc_quality_tuning""","WebRTC output encoder quality tuning preset","""ultra_low_latency"""
"""webrtc_out_enc_preset""","WebRTC output encoder preset","""ultra_fast"""
"""enable_drc""","Enable/Disable Dynamic Rate Control for WebRTC",TRUE
"""device_name""",Device Name for edge VST,"""VST_EDGE"""
"""device_location""",Device Location for edge VST,"""6th_Floor"""
"""enable_dec_low_latency_mode""",Enable/Disable low latency in decoder,FALSE
"""enable_avsync_udp_input""","Enable/Disable AV sync for UDP input",TRUE
"""use_standalone_udp_input""","Enable/Disable standalone UDP input mode",FALSE
"""enable_silent_audio_in_udp_input""","Enable/Disable silent audio in UDP input",FALSE
"""enable_udp_input_dump""","Enable/Disable UDP input dump for debugging",FALSE
"""use_webrtc_hw_dec""","Enable/Disable WebRTC hardware decoder",TRUE
"""recorder_enable_frame_drop""","Enable/Disable frame drop in recorder",TRUE
"""recorder_max_frame_queue_size_bytes""","Maximum frame queue size for recorder in bytes",16000000
"""use_centralize_local_db""",Enable/Disable Centralized local db,TRUE
"""enable_mega_simulation""",Enable/Disable Mega simulation,FALSE
"""mega_simulation_delay_min_ms""",Mega simulation delay min ms,0
"""mega_simulation_delay_max_ms""",Mega simulation delay max ms,0
"""mega_simulation_base_time""",Mega simulation base time,"2025-02-14T06:30:00.000000Z"
"**notifications**",**Section to define all Notifications related parameters**,
"""enable_notification""","Enable notification of device events on message broker",FALSE
"""use_message_broker""",Message Broker to use (Kafka/Redis),"""kafka"""
"""message_broker_topic""","Topic/event used in message broker","""vst.event"""
"""enable_notification_consumer""",Enable/Disable notification consumer,TRUE
"""use_message_broker_consumer""",Message Broker to use (Kafka/Redis),"""kafka"""
"""message_broker_topic_consumer""",Topic/event used in message broker,"""mdx-bev"""
"""message_broker_payload_key""",Payload key used in message broker,"""sensor.id"""
"""redis_server_env_var""",Redis server address:port,REDIS_SVC_SERVICE_HOST:6379
"""kafka_server_address""",Kafka server address and port,"""10.0.0.1:9092"""
"**debug**",**Section to define all Debug related parameters**,
"""enable_perf_logging""","Enable/Disable perf logging",TRUE
"""enable_qos_monitoring""","Enable/Disable QOS logging",TRUE
"""qos_logfile_path""",QOS log file path,/root/vst_release/webroot/log/
"""qos_data_capture_interval_sec""",QOS log capture interval,1
"""qos_data_publish_interval_sec""",QOS log publish interval,5
"""enable_gst_debug_probes""","Enable/Disable gstreamer probes",TRUE
"""enable_prometheus""",Enable/Disable stats update on prometheus,FALSE
"""prometheus_port""",prometheus port number,8080
"""enable_highlighting_logs""",Enable certain logs highlighting by special colors,TRUE
"""enable_debug_apis""",Enable/Disable Debug apis,TRUE
"""dump_webrtc_input_stats""",Enable/Disable webRTC IN stats,FALSE
"""enable_frameid_in_webrtc_stream""",Enable/Disable frameid in webRTC Stream,FALSE
"""enable_network_bandwidth_notification""",Enable/Disable network bandwidth notification,FALSE
"""enable_latency_logging""",Enable/Disable latency logging,FALSE
"""update_record_details_in_sec""",Update record details in seconds,70
"**overlay**",**Section to define all overlay related parameters**,
"""video_metadata_server""","Server to fetch Metadata from","""10.0.0.1:9200/mdx-raw*"""
"""video_metadata_query_batch_size_num_frames""",Size of metadata to fetch,300
"""use_video_metadata_protobuf""","Use Protobuf spec for metadata parsing",TRUE
"""enable_gem_drawing""",Enable/Disable GEM drawing,TRUE
"""calibration_file_path""",Path to calibration file,"""/home/vst/vst_release/configs/calibration.json"""
"""calibration_mode""",Calibration mode,"""synthetic"""
"""use_camera_groups""",Enable/Disable camera groups,TRUE
"""enable_recentering""",Enable/Disable recentering,FALSE
"""floor_map_file_path""",Path to floor map file,"""/home/vst/vst_release/configs/Top.png"""
"""3d_overlay_sensor_name""",3D overlay sensor name,"""bev-sensor-1"""
"""bbox_tolerance_ms""",Bounding box tolerance in milliseconds,0
"""analytic_server_address""",Analytic server address,""""""
"""overlay_color_code""",Overlay color code,
"""overlay_text_font_type""","Font type for overlay text","""DejaVuSansMono.ttf"""
"**security**",**Section to define all security related parameters**,
"""use_https""",Enable/Disable https,TRUE
"""use_rtsp_authentication""",Enable/Disable RTSP proxy stream authentication,TRUE
"""use_http_digest_authentication""","Enable/Disable HTTP user authentication",TRUE
"""use_multi_user""","Enable/Disable multi-user support",FALSE
"""enable_user_cleanup""","Enable/Disable automatic user cleanup",FALSE
"""session_max_age_sec""","Session maximum age in seconds",2592000
"""multi_user_extra_options""","Extra options for multi-user cookies","[""Secure"",""SameSite=none""]"
"""nv_org_id""", NGC ORG ID ,ngc_org_id
"""nv_ngc_key""", NGC Key ,ngc_key
