Model,Purpose
"`Nemotron-3.5-Lightning-30B-A3B <https://build.nvidia.com/nvidia/nemotron-3.5-lightning-30b-a3b>`_","LLM for reasoning and report generation"
"`Cosmos3-Nano-Reasoner <https://catalog.ngc.nvidia.com/orgs/nim/teams/nvidia/models/cosmos3-nano-reasoner>`_","VLM for video understanding"
